Sequence Name
Consensus
NC_15844
NC_14820
NC_18656
NC_21555
NC_15736
NC_14752
NC_2946
NC_3112
NC_12559
NC_5085
NC_16002
NC_4757
NC_8344
NC_7614
NC_15222
NC_15731
NC_12968
NC_14207
NC_7947
NC_12969
NC_14733
NC_11662
NC_6513
NC_8702
NC_7404
NC_22357
NC_13959
NC_14394
NC_16616
NC_7298
NC_13194
NC_14145
NC_14153
NC_8825
NC_10524
NC_17075
NC_8786
NC_13446
NC_10002
NC_15563
NC_14910
NC_8782
NC_11992
NC_7948
NC_8781
NC_22576
NC_7908
NC_12791
NC_15677
NC_8752
NC_15138
NC_14914
NC_16043
NC_17964
NC_15458
NC_20284
NC_20299
NC_19815
NC_20294
NC_14640
NC_10645
NC_18518
NC_19382
NC_10170
NC_2929
NC_18828
NC_14323
NC_15856
NC_9138
NC_9659
NC_9379
NC_7347
NC_7348
NC_15723
NC_15726
NC_7973
NC_10528
NC_10530
NC_3295
NC_3296
NC_10678
NC_10682
NC_8543
NC_7509
NC_7511
NC_22904
NC_23018
NC_14117
NC_14118
NC_10622
NC_10623
NC_7951
NC_7952
NC_10676
NC_10681
NC_14539
NC_14540
NC_15136
NC_15137
NC_18672
NC_18695
NC_14722
NC_7650
NC_7651
NC_6351
NC_6350
NC_8785
NC_8784
NC_6348
NC_6349
NC_15376
NC_15381
NC_12721
NC_12724
NC_10086
NC_10084
NC_10087
NC_7510
NC_9254
NC_9255
NC_9256
NC_8390
NC_8542
NC_8544
NC_8391
NC_8392
NC_15850
NC_11206
NC_15942
NC_17033
NC_20541
NC_2488
NC_16147
NC_10943
NC_14924
NC_13722
NC_6834
NC_3902
NC_3919
NC_7508
NC_16010
NC_2942
NC_13861
NC_14366
NC_2977
NC_19940
NC_13851
NC_18012
NC_13960
NC_7484
NC_14315
NC_2971
NC_11901
NC_13889
NC_19902
NC_8789
NC_8340
NC_21291
NC_22664
NC_9446
NC_13422
NC_6570
NC_8601
NC_15696
NC_10336
NC_17909
NC_18507
NC_8512
NC_21919
NC_14497
NC_7520
NC_15581
NC_13166
NC_8610
NC_9465
NC_17857
NC_18697
NC_21917
NC_15572
NC_16112
NC_9085
NC_5966
NC_14259
NC_16603
NC_14147
NC_9524
NC_7204
NC_7969
NC_8260
NC_18691
NC_20888
NC_9654
NC_15276
NC_15559
NC_10995
NC_18868
NC_7912
NC_12997
NC_7963
NC_14532
NC_7645
NC_18268
NC_8740
NC_17506
NC_12560
NC_20829
NC_2516
NC_20209
NC_15379
NC_4129
NC_4578
NC_5773
NC_7005
NC_23076
NC_7492
NC_19670
NC_9434
NC_9439
NC_15556
NC_8027
NC_2947
NC_6512
NC_3910
NC_11138
NC_15554
NC_16041
NC_20514
NC_8228
NC_15497
NC_12691
NC_16745
NC_15424
NC_9348
NC_8570
NC_2505
NC_6370
NC_6371
NC_6840
NC_6841
NC_11312
NC_11313
NC_13457
NC_4605
NC_9783
NC_4603
NC_16602
NC_9784
NC_13456
NC_16613
NC_16614
NC_11744
NC_11753
NC_15633
NC_4459
NC_4460
NC_8709
NC_20802
NC_7481
NC_14803
NC_14541
NC_8700
NC_9831
NC_10506
NC_9092
NC_14012
NC_11566
NC_9901
NC_10334
NC_7954
NC_8345
NC_9665
NC_9052
NC_11663
NC_4347
NC_8750
